0;200;238;60;land;false;unknown;0
1;200;238;60;land;false;unknown;0
2;127;178;233;land;false;unknown;0
3;144;189;54;land;false;unknown;0
4;195;212;131;land;false;unknown;0
5;242;137;44;land;false;unknown;0
6;144;43;149;land;false;unknown;0
7;126;240;242;land;false;unknown;0
8;119;4;236;land;false;unknown;0
9;174;202;217;land;false;unknown;0
10;73;90;1;land;false;unknown;0
11;154;204;34;land;false;unknown;0
12;156;183;68;land;false;unknown;0
13;145;171;93;land;false;unknown;0
14;202;239;222;land;false;unknown;0
15;117;134;142;land;false;unknown;0
16;179;206;21;land;false;unknown;0
17;0;45;172;land;false;unknown;0
18;94;132;88;land;false;unknown;0
19;47;71;237;land;false;unknown;0
20;66;101;57;land;false;unknown;0
21;191;230;121;land;false;unknown;0
22;225;193;227;land;false;unknown;0
23;18;49;177;land;false;unknown;0
24;11;216;233;land;false;unknown;0
25;195;124;155;land;false;unknown;0
26;20;123;182;land;false;unknown;0
27;65;157;180;land;false;unknown;0
28;222;226;183;land;false;unknown;0
29;43;178;133;land;false;unknown;0
30;136;183;49;land;false;unknown;0
31;178;126;167;land;false;unknown;0
32;52;162;173;land;false;unknown;0
33;52;147;43;land;false;unknown;0
34;52;87;33;land;false;unknown;0
35;94;90;161;land;false;unknown;0
36;136;78;159;land;false;unknown;0
37;49;206;252;land;false;unknown;0
38;39;122;56;land;false;unknown;0
39;195;150;112;land;false;unknown;0
40;225;209;104;land;false;unknown;0
41;130;238;107;land;false;unknown;0
42;207;251;104;land;false;unknown;0
43;44;161;60;land;false;unknown;0
44;5;118;216;land;false;unknown;0
45;24;207;82;land;false;unknown;0
46;210;223;130;land;false;unknown;0
47;186;154;181;land;false;unknown;0
48;182;35;234;land;false;unknown;0
49;47;151;241;land;false;unknown;0
50;99;67;91;land;false;unknown;0
51;68;119;95;land;false;unknown;0
52;17;83;61;land;false;unknown;0
53;145;90;176;land;false;unknown;0
54;7;46;34;land;false;unknown;0
55;50;159;249;land;false;unknown;0
56;247;58;242;land;false;unknown;0
57;93;135;195;land;false;unknown;0
58;157;197;160;land;false;unknown;0
59;98;201;253;land;false;unknown;0
60;218;91;133;land;false;unknown;0
61;5;54;238;land;false;unknown;0
62;226;177;175;land;false;unknown;0
63;220;126;36;land;false;unknown;0
64;59;223;240;land;false;unknown;0
65;184;107;130;land;false;unknown;0
66;212;195;160;land;false;unknown;0
67;112;130;230;land;false;unknown;0
68;75;46;225;land;false;unknown;0
69;93;133;114;land;false;unknown;0
70;165;61;208;land;false;unknown;0
71;90;99;239;land;false;unknown;0
72;157;225;64;land;false;unknown;0
73;18;63;191;land;false;unknown;0
74;52;177;48;land;false;unknown;0
75;8;198;116;land;false;unknown;0
76;132;137;209;land;false;unknown;0
77;223;223;145;land;false;unknown;0
78;234;100;142;land;false;unknown;0
79;227;51;222;land;false;unknown;0
80;37;182;214;land;false;unknown;0
81;94;135;41;land;false;unknown;0
82;161;137;248;land;false;unknown;0
83;30;180;63;land;false;unknown;0
84;84;214;223;land;false;unknown;0
85;232;137;139;land;false;unknown;0
86;6;89;204;land;false;unknown;0
87;125;82;188;land;false;unknown;0
88;226;235;199;land;false;unknown;0
89;21;178;29;land;false;unknown;0
90;176;190;235;land;false;unknown;0
91;178;96;162;land;false;unknown;0
92;247;55;85;land;false;unknown;0
93;32;99;7;land;false;unknown;0
94;183;30;135;land;false;unknown;0
95;43;230;190;land;false;unknown;0
96;77;95;37;land;false;unknown;0
97;106;77;205;land;false;unknown;0
98;59;203;178;land;false;unknown;0
99;165;206;9;land;false;unknown;0
